"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19, 2014","370.0","351.6","379.5","342.5","2.12K","5.22%"
"Aug 20, 2014","393.2","370.0","400.9","356.8","2.31K","6.26%"
"Aug 21, 2014","395.9","393.2","407.5","389.1","1.66K","0.68%"
"Aug 22, 2014","392.6","395.9","398.8","381.2","1.58K","-0.83%"
"Aug 23, 2014","379.7","392.6","393.3","376.3","0.75K","-3.27%"
"Aug 24, 2014","388.0","379.7","391.3","378.8","0.59K","2.18%"
"Aug 25, 2014","382.0","388.0","390.6","380.1","0.76K","-1.54%"
"Aug 26, 2014","388.2","382.0","391.8","380.3","1.01K","1.61%"
"Aug 27, 2014","387.6","388.2","396.1","385.2","1.26K","-0.14%"
"Aug 28, 2014","382.9","387.6","391.1","380.3","1.12K","-1.22%"
"Aug 29, 2014","386.6","382.9","390.0","377.4","0.82K","0.96%"
"Aug 30, 2014","384.2","386.6","387.5","381.8","0.48K","-0.62%"
"Aug 31, 2014","368.4","384.2","385.7","361.3","1.18K","-4.10%"
"Sep 01, 2014","364.2","368.4","375.3","361.3","1.01K","-1.14%"
"Sep 02, 2014","361.4","364.2","370.0","360.2","0.91K","-0.79%"
"Sep 03, 2014","361.6","361.4","368.2","355.7","0.96K","0.07%"
"Sep 04, 2014","379.7","361.6","380.1","360.2","1.23K","5.01%"
"Sep 05, 2014","369.9","379.7","380.6","369.3","0.84K","-2.58%"
"Sep 06, 2014","371.3","369.9","376.2","369.5","0.35K","0.38%"
"Sep 07, 2014","371.3","371.3","373.3","368.7","0.40K","0.00%"
"Sep 08, 2014","365.2","371.3","371.4","356.9","1.53K","-1.64%"
"Sep 09, 2014","366.0","365.2","368.2","360.1","1.14K","0.22%"
"Sep 10, 2014","368.4","366.0","378.0","363.4","1.43K","0.64%"
"Sep 11, 2014","369.3","368.4","372.3","364.6","0.77K","0.26%"
"Sep 12, 2014","367.5","369.3","369.5","362.5","0.62K","-0.49%"
"Sep 13, 2014","365.9","367.5","369.2","363.1","0.45K","-0.45%"
"Sep 14, 2014","364.7","365.9","370.0","363.6","0.48K","-0.32%"
